wav path,transcription,action,object,location,starting time,ending time
./wavs/speakers/aokxBz9LxXHzZzay/016d3a60-44d1-11e9-a8b6-e96f2628bf65.wav,Turn the kitchen temperature down,decrease,heat,kitchen,10379,36860
./wavs/speakers/aokxBz9LxXHzZzay/01fe2860-44d4-11e9-a8b6-e96f2628bf65.wav,Increase the volume,increase,volume,none,8821,29731
./wavs/speakers/aokxBz9LxXHzZzay/04386850-44d1-11e9-a8b6-e96f2628bf65.wav,Turn down the heat in the kitchen,decrease,heat,kitchen,8912,34659
./wavs/speakers/aokxBz9LxXHzZzay/04d53d30-44d4-11e9-a8b6-e96f2628bf65.wav,Increase the sound volume,increase,volume,none,9610,33769
./wavs/speakers/aokxBz9LxXHzZzay/05146d40-44cd-11e9-a8b6-e96f2628bf65.wav,Pause the music,deactivate,music,none,11613,29527
./wavs/speakers/aokxBz9LxXHzZzay/06fd0690-44d1-11e9-a8b6-e96f2628bf65.wav,Turn the heat down in the kitchen,decrease,heat,kitchen,9646,35613
./wavs/speakers/aokxBz9LxXHzZzay/09ac9630-44d1-11e9-a8b6-e96f2628bf65.wav,Kitchen heat down,decrease,heat,kitchen,12703,30140
./wavs/speakers/aokxBz9LxXHzZzay/09ee04a0-44d4-11e9-a8b6-e96f2628bf65.wav,Increase the sound,increase,volume,none,8088,27016
./wavs/speakers/aokxBz9LxXHzZzay/0ca87110-44d1-11e9-a8b6-e96f2628bf65.wav,Decrease the temperature in the kitchen,decrease,heat,kitchen,11085,39915
./wavs/speakers/aokxBz9LxXHzZzay/0ff15a80-44d1-11e9-a8b6-e96f2628bf65.wav,Decrease the heating in the kitchen,decrease,heat,kitchen,12782,43244
./wavs/speakers/aokxBz9LxXHzZzay/1317c7d0-44d1-11e9-a8b6-e96f2628bf65.wav,Turn down the temperature in the bedroom,decrease,heat,bedroom,12752,44307
./wavs/speakers/aokxBz9LxXHzZzay/162f8f20-44d1-11e9-a8b6-e96f2628bf65.wav,Turn the temperature in the bedroom down,decrease,heat,bedroom,12952,42628
./wavs/speakers/aokxBz9LxXHzZzay/18f95d80-44d1-11e9-a8b6-e96f2628bf65.wav,Turn down the bedroom heat,decrease,heat,bedroom,9005,32911
./wavs/speakers/aokxBz9LxXHzZzay/1a43fe90-44d4-11e9-a8b6-e96f2628bf65.wav,Turn the sound up,increase,volume,none,8707,23830
./wavs/speakers/aokxBz9LxXHzZzay/1b8ed570-44d1-11e9-a8b6-e96f2628bf65.wav,Turn the bedroom heat down,decrease,heat,bedroom,9071,29767
./wavs/speakers/aokxBz9LxXHzZzay/1e22c6c0-44d1-11e9-a8b6-e96f2628bf65.wav,Bedroom heat down,decrease,heat,bedroom,10577,29767
./wavs/speakers/aokxBz9LxXHzZzay/210e7500-44d1-11e9-a8b6-e96f2628bf65.wav,Decrease the temperature in the bedroom,decrease,heat,bedroom,10413,37999
./wavs/speakers/aokxBz9LxXHzZzay/23e514a0-44d1-11e9-a8b6-e96f2628bf65.wav,Decrease the heating in the bedroom,decrease,heat,bedroom,9534,36124
./wavs/speakers/aokxBz9LxXHzZzay/26de0950-44d1-11e9-a8b6-e96f2628bf65.wav,Turn down the washroom temperature,decrease,heat,washroom,10728,37842
./wavs/speakers/aokxBz9LxXHzZzay/29f5d0a0-44d1-11e9-a8b6-e96f2628bf65.wav,Turn the temperature down in the washroom,decrease,heat,washroom,9623,39590
./wavs/speakers/aokxBz9LxXHzZzay/2d2e8d70-44d1-11e9-a8b6-e96f2628bf65.wav,Turn down the heat in the washroom,decrease,heat,washroom,10728,37292
