wavname,start,end
./wavs/garb/cn/data_thchs30/train/C20_533.wav,84245,169788
./wavs/garb/cn/data_thchs30/train/C31_629.wav,21336,81119
./wavs/garb/en/LibriSpeech/train-clean-360/2053/138888/2053-138888-0017.flac,117759,131461
./wavs/garb/cn/data_thchs30/train/C12_723.wav,45837,97626
./wavs/garb/en/LibriSpeech/train-clean-360/1463/134463/1463-134463-0003.flac,11429,46274
./wavs/garb/en/LibriSpeech/train-clean-360/3521/7591/3521-7591-0035.flac,46826,153444
./wavs/garb/cn/data_thchs30/train/B7_363.wav,98601,133809
./wavs/garb/cn/data_thchs30/train/A6_174.wav,81064,119589
./wavs/garb/en/LibriSpeech/train-clean-360/2238/121415/2238-121415-0030.flac,78386,121644
./wavs/garb/en/LibriSpeech/train-clean-360/3728/105398/3728-105398-0006.flac,143300,163886
./wavs/garb/en/LibriSpeech/train-clean-360/5389/41911/5389-41911-0025.flac,91953,163730
./wavs/garb/en/LibriSpeech/train-clean-360/5940/54016/5940-54016-0065.flac,87625,131772
./wavs/garb/cn/data_thchs30/data/B7_476.wav,81477,121246
./wavs/garb/en/LibriSpeech/train-clean-360/511/131226/511-131226-0004.flac,116405,172237
./wavs/garb/cn/data_thchs30/data/A11_138.wav,82321,123306
./wavs/garb/en/LibriSpeech/train-clean-360/5126/27504/5126-27504-0014.flac,49956,142528
./wavs/garb/en/LibriSpeech/train-clean-360/7704/106969/7704-106969-0037.flac,90425,153651
./wavs/garb/en/LibriSpeech/train-clean-100/412/126975/412-126975-0055.flac,129088,166139
./wavs/garb/en/LibriSpeech/train-clean-360/581/126955/581-126955-0014.flac,167648,226954
./wavs/garb/en/LibriSpeech/train-clean-360/5740/39910/5740-39910-0004.flac,137377,196660
./wavs/garb/en/LibriSpeech/train-clean-360/6555/398/6555-398-0032.flac,165684,193235
./wavs/garb/en/LibriSpeech/train-clean-360/4226/12707/4226-12707-0009.flac,146734,160565
./wavs/garb/en/LibriSpeech/train-clean-360/2204/131732/2204-131732-0016.flac,96230,143126
./wavs/garb/en/LibriSpeech/train-clean-100/6147/34605/6147-34605-0011.flac,85724,139867
./wavs/garb/cn/data_thchs30/train/A2_84.wav,45711,78069
./wavs/garb/cn/data_thchs30/train/C8_505.wav,6841,63506
./wavs/garb/en/LibriSpeech/train-clean-360/1001/134708/1001-134708-0035.flac,82742,162251
./wavs/garb/en/LibriSpeech/train-clean-360/5115/26951/5115-26951-0034.flac,88505,111109
./wavs/garb/en/LibriSpeech/train-clean-360/9022/282357/9022-282357-0041.flac,88912,168332
./wavs/garb/en/LibriSpeech/train-clean-360/4590/18005/4590-18005-0006.flac,95340,173134
./wavs/garb/cn/data_thchs30/train/B33_314.wav,65435,117093
./wavs/garb/en/LibriSpeech/train-clean-360/7704/106969/7704-106969-0006.flac,95952,130688
./wavs/garb/en/LibriSpeech/train-clean-360/3224/168198/3224-168198-0036.flac,3050,52360
./wavs/garb/en/LibriSpeech/train-clean-360/1195/135814/1195-135814-0000.flac,104654,162383
./wavs/garb/cn/data_thchs30/train/B12_427.wav,92624,120537
./wavs/garb/en/LibriSpeech/train-clean-360/3258/169291/3258-169291-0055.flac,116929,162974
./wavs/garb/en/LibriSpeech/train-clean-360/8573/286306/8573-286306-0021.flac,74786,165591
./wavs/garb/en/LibriSpeech/train-clean-360/1571/138486/1571-138486-0037.flac,122468,227589
./wavs/garb/cn/data_thchs30/train/A32_85.wav,14726,63016
./wavs/garb/cn/data_thchs30/data/B22_320.wav,88165,150001
./wavs/garb/en/LibriSpeech/train-clean-100/1963/142393/1963-142393-0035.flac,117816,169305
./wavs/garb/en/LibriSpeech/train-clean-360/3482/170452/3482-170452-0019.flac,116659,172500
./wavs/garb/cn/data_thchs30/data/A12_87.wav,78046,98582
./wavs/garb/cn/data_thchs30/train/C18_654.wav,54595,123658
./wavs/garb/cn/data_thchs30/train/B33_423.wav,65476,100049
./wavs/garb/en/LibriSpeech/train-clean-360/4495/18533/4495-18533-0019.flac,165744,247304
./wavs/garb/en/LibriSpeech/train-clean-360/5622/41172/5622-41172-0012.flac,118922,184026
./wavs/garb/en/LibriSpeech/train-clean-360/500/125123/500-125123-0088.flac,30071,53551
./wavs/garb/en/LibriSpeech/train-clean-360/5985/300208/5985-300208-0027.flac,99474,195781
./wavs/garb/cn/data_thchs30/train/A22_4.wav,72318,119416
./wavs/garb/cn/data_thchs30/train/B15_493.wav,12227,59112
./wavs/garb/en/LibriSpeech/train-clean-360/3914/10089/3914-10089-0050.flac,87579,140000
./wavs/garb/en/LibriSpeech/train-clean-100/887/123289/887-123289-0015.flac,127730,176272
./wavs/garb/cn/data_thchs30/data/A34_27.wav,24176,46619
./wavs/garb/en/LibriSpeech/train-clean-360/7752/113336/7752-113336-0010.flac,92416,129343
./wavs/garb/en/LibriSpeech/train-clean-100/8063/274112/8063-274112-0039.flac,76652,119695
./wavs/garb/cn/data_thchs30/train/A23_45.wav,62776,102498
./wavs/garb/en/LibriSpeech/train-clean-360/8222/274380/8222-274380-0027.flac,141856,173436
./wavs/garb/en/LibriSpeech/train-clean-360/3923/153309/3923-153309-0028.flac,112684,165518
./wavs/garb/cn/data_thchs30/data/A13_113.wav,18770,122405
./wavs/garb/cn/data_thchs30/train/A36_162.wav,81819,125820
./wavs/garb/cn/data_thchs30/data/D13_924.wav,26197,54179
./wavs/garb/en/LibriSpeech/train-clean-360/1460/138290/1460-138290-0022.flac,98473,150373
./wavs/garb/cn/data_thchs30/train/A23_91.wav,85384,125713
./wavs/garb/en/LibriSpeech/train-clean-360/2272/152282/2272-152282-0004.flac,128921,177111
./wavs/garb/en/LibriSpeech/train-clean-360/1417/1532/1417-1532-0027.flac,7487,64217
./wavs/garb/cn/data_thchs30/train/B2_409.wav,7598,54654
./wavs/garb/cn/data_thchs30/train/A8_45.wav,57184,87261
./wavs/garb/cn/data_thchs30/train/B11_404.wav,5138,46940
./wavs/garb/en/LibriSpeech/train-clean-100/374/180299/374-180299-0036.flac,72415,135930
./wavs/garb/cn/data_thchs30/train/C23_662.wav,108417,165969
./wavs/garb/en/LibriSpeech/train-clean-100/229/130880/229-130880-0063.flac,208871,241007
./wavs/garb/en/LibriSpeech/train-clean-360/1311/134170/1311-134170-0023.flac,157150,223450
./wavs/garb/cn/data_thchs30/train/C4_550.wav,61938,83419
./wavs/garb/cn/data_thchs30/train/A13_72.wav,88582,136065
./wavs/garb/cn/data_thchs30/train/C13_748.wav,8601,60987
./wavs/garb/en/LibriSpeech/train-clean-360/7117/86732/7117-86732-0027.flac,97020,177101
./wavs/garb/en/LibriSpeech/train-clean-100/8425/292520/8425-292520-0017.flac,109901,183170
./wavs/garb/en/LibriSpeech/train-clean-360/4289/12723/4289-12723-0023.flac,31399,56787
./wavs/garb/en/LibriSpeech/train-clean-360/1974/139741/1974-139741-0028.flac,2751,33893
./wavs/garb/cn/data_thchs30/data/A34_96.wav,107351,157981
./wavs/garb/en/LibriSpeech/train-clean-360/119/129514/119-129514-0038.flac,139462,223910
./wavs/garb/en/LibriSpeech/train-clean-100/911/128684/911-128684-0073.flac,136783,235783
./wavs/garb/en/LibriSpeech/train-clean-360/93/123172/93-123172-0019.flac,32416,50410
./wavs/garb/en/LibriSpeech/train-clean-100/2691/156745/2691-156745-0032.flac,86379,179655
./wavs/garb/en/LibriSpeech/train-clean-360/79/121541/79-121541-0001.flac,154819,191096
./wavs/garb/en/LibriSpeech/train-clean-360/1212/14653/1212-14653-0013.flac,125793,145803
./wavs/garb/en/LibriSpeech/train-clean-360/5139/30106/5139-30106-0016.flac,150459,188661
./wavs/garb/en/LibriSpeech/train-clean-360/5776/46889/5776-46889-0016.flac,2130,77565
./wavs/garb/cn/data_thchs30/test/D6_833.wav,9735,70950
./wavs/garb/cn/data_thchs30/test/D6_910.wav,81970,127948
./wavs/garb/cn/data_thchs30/data/A12_51.wav,7704,55971
./wavs/garb/cn/data_thchs30/train/C7_587.wav,109417,146666
./wavs/garb/en/LibriSpeech/train-clean-360/7314/93277/7314-93277-0019.flac,38465,105486
./wavs/garb/en/LibriSpeech/train-clean-360/2638/10172/2638-10172-0082.flac,81868,167213
./wavs/garb/cn/data_thchs30/train/C13_733.wav,140194,165839
./wavs/garb/cn/data_thchs30/data/A32_31.wav,11368,59590
./wavs/garb/en/LibriSpeech/train-clean-360/671/131030/671-131030-0010.flac,45909,118235
./wavs/garb/en/LibriSpeech/train-clean-360/4246/12544/4246-12544-0031.flac,186235,238578
./wavs/garb/cn/data_thchs30/data/C20_669.wav,96604,151270
./wavs/garb/cn/data_thchs30/data/B22_487.wav,16977,73410
./wavs/garb/en/LibriSpeech/train-clean-360/1487/133273/1487-133273-0005.flac,168702,199449
./wavs/garb/cn/data_thchs30/data/C18_517.wav,16231,138817
./wavs/garb/en/LibriSpeech/train-clean-360/512/124549/512-124549-0018.flac,167668,195465
./wavs/garb/en/LibriSpeech/train-clean-360/157/121899/157-121899-0000.flac,156387,201188
./wavs/garb/en/LibriSpeech/train-clean-360/6330/66016/6330-66016-0035.flac,80835,186714
./wavs/garb/cn/data_thchs30/train/A13_43.wav,90222,130251
./wavs/garb/en/LibriSpeech/train-clean-360/2204/131732/2204-131732-0073.flac,146233,200919
./wavs/garb/en/LibriSpeech/train-clean-100/7113/86041/7113-86041-0064.flac,129219,147845
./wavs/garb/en/LibriSpeech/train-clean-360/7732/107517/7732-107517-0022.flac,141030,167152
./wavs/garb/en/LibriSpeech/train-clean-360/2348/143895/2348-143895-0024.flac,128455,169149
./wavs/garb/en/LibriSpeech/train-clean-360/451/126826/451-126826-0026.flac,97475,216627
./wavs/garb/cn/data_thchs30/dev/A7_157.wav,81423,121998
./wavs/garb/en/LibriSpeech/train-clean-360/227/126539/227-126539-0045.flac,86668,143517
./wavs/garb/cn/data_thchs30/data/D13_865.wav,111476,149753
./wavs/garb/cn/data_thchs30/train/C7_709.wav,87995,128311
./wavs/garb/en/LibriSpeech/train-clean-360/5242/35921/5242-35921-0028.flac,130017,233362
./wavs/garb/en/LibriSpeech/train-clean-100/8747/293952/8747-293952-0071.flac,113286,174685
./wavs/garb/en/LibriSpeech/train-clean-360/1961/145733/1961-145733-0024.flac,73571,102391
./wavs/garb/en/LibriSpeech/train-clean-360/6286/75355/6286-75355-0047.flac,148061,207723
